Herminiimonas	249
Actinomyces	280
Lactobacillus	298
Comamonas	318
Haemophilus	324
Corynebacterium	359
Gp1	374
Propionibacterium	498
Pseudomonas	542
Streptococcus	701
Saccharopolyspora	723
Acinetobacter	3508

Sample is 8043_CS
Genus	Number_16s
Proteiniborus	11
Massilia	11
Tessaracoccus	12
Arcicella	14
Brachybacterium	16
Bosea	16
Prevotella	20
Faecalibacterium	20
Anoxybacillus	20
Anaerococcus	23
Zoogloea	23
Citrobacter	24
Geobacillus	26
Veillonella	27
Petrimonas	28
Enhydrobacter	29
Psychrobacter	30
Moryella	30
Flectobacillus	30
Haliscomenobacter	31
Geminicoccus	31
Duganella	31
Bradyrhizobium	31
Asticcacaulis	32
Planomicrobium	35
Microbacterium	35
Rhizobium	37
Caulobacter	37
OD1	39
Flavisolibacter	39
Geothrix	44
Nevskia	46
Sphingomonas	48
Bdellovibrio	49
Leptotrichia	49
Finegoldia	50
Streptococcus	53
Tepidimonas	64
Methylobacterium	69
Schlegelella	72
Bacillariophyta	75
Brevundimonas	77
Blastococcus	81
Sanguibacter	81
Pelomonas	91
Parapedobacter	99
Hydrogenophilus	110
Corynebacterium	111
Acidovorax	115
TM7	127
Actinomyces	137
Escherichia/Shigella	154
Paracoccus	160
Cloacibacterium	170
Lactobacillus	186
Diaphorobacter	195
Propionibacterium	203
Comamonas	243
Saccharopolyspora	292
Pseudomonas	363
Streptophyta	1270
Acinetobacter	4481

Sample is 7921_EUS
Genus	Number_16s
Nocardiopsis	11
Haematobacter	12
Variovorax	13
Methylobacterium	14
Sanguibacter	15
Modestobacter	15
Gemella	16
Pelomonas	16
Hydrogenophilus	16
Haliscomenobacter	17
Methylibium	17
Sporomusa	17
Geobacillus	21
Acidovorax	23
Staphylococcus	24
Brevibacterium	25
Anaeromyxobacter	26
Paludibacter	26
Devosia	27
Veillonella	28
Pedobacter	29
Leadbetterella	29
Schlegelella	30
Sphingomonas	33
Herminiimonas	33
TM7	33
Dietzia	33
Porphyromonas	33
Caulobacter	34
Sphingobium	35
Methylotenera	38
OD1	43
Hyphomicrobium	45
Bradyrhizobium	48
Neisseria	50
Enterococcus	50
Xanthomonas	51
Caldimonas	51
Saccharopolyspora	55
Megasphaera	61
Ralstonia	62
Flavobacterium	68
Roseomonas	75
Bacillariophyta	75
Paracoccus	77
Bacteroides	81
Leptotrichia	84
Herbaspirillum	91
Arcobacter	101
Escherichia/Shigella	103
Pleomorphomonas	116
Skermanella	120
Actinomyces	229
Propionibacterium	250
Comamonas	310
Streptococcus	350
Cloacibacterium	488
Diaphorobacter	517
Citrobacter	580
Pseudomonas	796
Prevotella	853
Streptophyta	1727
Acinetobacter	1914

Sample is 8043_ELS
Genus	Number_16s
Humicoccus	12
Streptomyces	12
Corynebacterium	12
OD1	12
Pelomonas	12
Ilumatobacter	12
Rubrobacter	12
Bacillus	12
Pseudoxanthomonas	13
Polaromonas	13
Schlegelella	14
Lactobacillus	14
Marinospirillum	15
Methylobacterium	15
Thauera	15
Chryseobacterium	16
Sphingobium	16
Porphyromonas	16
Skermanella	18
Vagococcus	19
Phenylobacterium	19
Leptotrichia	20
Catellicoccus	24
Nocardiopsis	24
Enterococcus	27
TM7	28
Enhydrobacter	29
Paracoccus	44
Cloacibacterium	48
Rheinheimera	49
Globicatella	68
Propionibacterium	70
Saccharopolyspora	76
Actinomyces	81
Streptococcus	84
Escherichia/Shigella	89
Diaphorobacter	111
Streptophyta	121
Hydrogenophilus	134
Comamonas	705
Pseudomonas	4326
Acinetobacter	4835

Sample is 8043_EUS
Genus	Number_16s
Gp1	11
Frigoribacterium	13
Veillonella	14
Mucilaginibacter	14
Gordonia	15
Delftia	16
Novosphingobium	19
Ferruginibacter	19
Staphylococcus	21
Bacillariophyta	23
Massilia	23
Brevundimonas	24
TM7	24
Paracoccus	25
Sporotalea	25
Ramlibacter	26
Blastomonas	26
Prevotella	26
Rhizobium	26
Polaromonas	26
Desemzia	29
Paenibacillus	30
Friedmanniella	31
Brachymonas	32
Phenylobacterium	32
Gp3	33
Methyloversatilis	34
Rhodoferax	34
Dyadobacter	34
Nevskia	35
Schlegelella	35
Methylobacterium	39
Parvimonas	41
Sphingobium	45
Sphingopyxis	47
OD1	49
Corynebacterium	54
Bosea	59
Methylobacillus	75
Escherichia/Shigella	76
Thermomonas	78
Pseudoxanthomonas	80
Herbaspirillum	87
Duganella	96
Stenotrophomonas	102
Saccharopolyspora	108
Flavobacterium	113
Ralstonia	115
Nocardiopsis	160
Sphingomonas	172
Acidovorax	173
Propionibacterium	187
Lactobacillus	216
Actinomyces	301
Enhydrobacter	376
Comamonas	400
Cloacibacterium	578
Streptophyta	708
Diaphorobacter	957
Pseudomonas	1087
Acinetobacter	8963

Sample is 8043_EMS
Genus	Number_16s
Sphingopyxis	11
Ralstonia	11
Malikia	11
Psychrobacter	13
Friedmanniella	13
Micrococcus	14
Saccharopolyspora	14
Schlegelella	14
Emticicia	14
Streptophyta	15
Rubellimicrobium	15
Corynebacterium	15
Amaricoccus	15
Sphingomonas	17
Bradyrhizobium	17
Zoogloea	19
Gp4	20
Flavobacterium	21
Tepidimonas	21
Bosea	22
Pseudochrobactrum	26
Rheinheimera	27
Methylobacillus	28
OD1	29
Enhydrobacter	29
Methylobacterium	30
Paracoccus	30
Brevundimonas	34
Stenotrophomonas	37
Herbaspirillum	65
Actinomyces	85
Acidovorax	94
Propionibacterium	97
Escherichia/Shigella	122
Cloacibacterium	122
Diaphorobacter	267
Comamonas	354
Pseudomonas	1420
Acinetobacter	7653

Sample is 8249_CS
Genus	Number_16s
Microbacterium	17
OD1	28
Stenotrophomonas	36
Polaromonas	40
Bacillus	41
Ottowia	44
Bacillariophyta	47
Chlorophyta	48
Comamonas	57
SR1	58
Ralstonia	59
Veillonella	72
Rhodoferax	76
Bradyrhizobium	84
Cellvibrio	86
TM7	94
Methylobacterium	96
Rhizobium	103
Caulobacter	110
Variovorax	118
Fluviicola	121
Herbaspirillum	137
Terrimonas	145
Nevskia	176
Acidovorax	210
Acinetobacter	271
Corynebacterium	280
Brevibacterium	296
Saccharopolyspora	448
Actinomyces	559
Pseudomonas	649
Escherichia/Shigella	666
Propionibacterium	842
Streptophyta	1414

Sample is 8249_ELS
Genus	Number_16s
Mucilaginibacter	11
Dokdonella	12
Nocardiopsis	13
Ottowia	27
Chlorophyta	29
Acinetobacter	30
Emticicia	36
Simplicispira	36
Arthrobacter	41
Hydrogenophaga	41
Haliscomenobacter	41
Bradyrhizobium	48
Veillonella	52
Ferruginibacter	52
Janthinobacterium	54
Pedobacter	54
Hyphomicrobium	54
Ralstonia	65
Kocuria	68
Massilia	68
Sphingomonas	70
Lactobacillus	76
OD1	95
Methylotenera	95
Variovorax	97
Corynebacterium	106
Herminiimonas	135
Pseudomonas	163
Flavobacterium	168
Saccharopolyspora	171
Pelomonas	196
Streptococcus	288
Dechloromonas	328
Herbaspirillum	451
Actinomyces	496
Stenotrophomonas	583
Propionibacterium	589
Escherichia/Shigella	620
Streptophyta	623

Sample is 8249_EMS
Genus	Number_16s
Skermanella	13
Aeromonas	14
Naxibacter	16
Chlorophyta	22
Paracraurococcus	25
Chryseobacterium	30
Treponema	30
Streptococcus	31
Bdellovibrio	31
Dechloromonas	31
Bacillus	31
Acidovorax	32
Comamonas	33
Ralstonia	34
Sphingobacterium	35
Hyphomicrobium	40
Brevundimonas	46
Herminiimonas	47
OD1	51
Carnobacterium	53
Flavobacterium	53
Pelomonas	54
Janthinobacterium	58
Pedobacter	62
Enterococcus	70
Sanguibacter	73
Herbaspirillum	74
Blautia	74
Curvibacter	78
Arthrobacter	86
Gordonia	88
Geobacillus	89
Cloacibacterium	90
Nevskia	96
Leptotrichia	100
Variovorax	101
Massilia	112
Corynebacterium	132
Bradyrhizobium	158
Lactobacillus	220
Microbacterium	224
Actinomyces	332
Streptophyta	428
Escherichia/Shigella	496
Propionibacterium	557
Acinetobacter	583
Saccharopolyspora	756
Pseudomonas	900

Sample is 8249_EUS
Genus	Number_16s
Enhydrobacter	11
Methylibium	11
Bradyrhizobium	11
Terrimonas	11
Micrococcus	12
Anaeromyxobacter	12
Nocardioides	14
Phenylobacterium	14
Alkanindiges	14
Cloacibacterium	15
Delftia	16
Rhodoferax	16
Nevskia	16
Arcicella	16
Acidovorax	17
Microbacterium	17
Geothrix	20
Novosphingobium	21
Pelomonas	21
OP10	21
Flavobacterium	23
Brevundimonas	23
Rhizobium	23
Azospirillum	25
Herbaspirillum	26
Pseudonocardia	26
Ottowia	29
Fusobacterium	29
Janthinobacterium	30
Diaphorobacter	30
Parvibaculum	31
Anoxybacillus	31
Methylobacterium	34
Massilia	35
Leptotrichia	38
Geobacillus	40
Staphylococcus	42
Lactobacillus	43
Prevotella	44
Chryseobacterium	45
Variovorax	48
Paracoccus	48
OD1	50
Neisseria	56
Devosia	59
Roseomonas	64
Acinetobacter	74
Corynebacterium	75
Kineococcus	91
Atopobium	91
Ralstonia	113
Kingella	137
Streptophyta	172
Escherichia/Shigella	186
Saccharopolyspora	197
Nocardiopsis	202
Propionibacterium	234
Pseudomonas	254
Streptococcus	266
Actinomyces	392
Veillonella	452

